,date,num_basket_objects,object_iterator,object_name,Y1,X1,Y2,X2,gaze_x,gaze_y,t_start,t_select,t_close,t_completion,NOSC,NGSC,NAC,TTA,TTG,OST,TTT,success,prosthetic_err,obj_select_err,grasp_config_err,aperture_err
92,06_02_2021_15_59_33,2,0,airpods,168,249,258,310,504,-37,1622665698056,1622665701475,1622665705471,1622665710182,0,0,0,3996,7415,3419,12126,True,False,True,False,False
93,06_02_2021_15_59_33,2,1,coffee pod,190,223,244,281,16,-110,1622665717375,1622665719242,1622665722757,1622665725223,0,0,0,3515,5382,1867,7848,True,False,False,False,False
94,06_01_2021_18_30_47,3,0,cigar,218,34,277,86,-17,-149,1622588786444,1622588790365,1622588795463,1622588799409,0,0,0,5098,9019,3921,12965,True,False,False,False,False
95,06_01_2021_18_30_47,3,1,Measuring tape,115,85,213,169,305,296,1622588811663,1622588815455,1622588820092,1622588841393,0,0,1,4637,8429,3792,29730,True,False,False,False,False
96,06_01_2021_18_30_47,3,2,Headphone,91,225,267,384,-27,-177,1622588867981,1622588870800,1622588874811,1622588877709,0,0,0,4011,6830,2819,9728,True,False,False,False,False
97,06_02_2021_15_59_33,4,0,mango,21,185,84,269,446,143,1622665765489,1622665768684,1622665771828,1622665776258,0,0,0,3144,6339,3195,10769,True,False,False,False,False
98,06_02_2021_15_59_33,4,1,laddle,206,140,282,257,623,282,1622665785924,1622665789903,1622665792928,1622665795533,0,0,0,3025,7004,3979,9609,True,False,False,False,False
99,06_02_2021_15_59_33,4,2,Stapler,196,253,248,303,56,-128,1622665802247,1622665809134,1622665812427,1622665823229,0,0,1,3293,10180,6887,20982,True,True,False,False,False
100,06_02_2021_15_59_33,4,3,Mugs - RDM,118,174,202,295,135,21,1622665829203,1622665831519,1622665833744,1622665835700,0,0,0,2225,4541,2316,6497,True,False,False,False,False
101,06_01_2021_16_43_45,2,0,Dish Soap - UR,73,43,207,223,28,-225,1622580545867,1622580549592,1622580553636,1622580560351,0,0,0,4044,7769,3725,14484,True,False,False,False,False
102,06_01_2021_16_43_45,2,1,Glasses,87,291,212,358,64,-51,1622580570235,1622580572147,1622580575417,1622580579902,0,0,0,3270,5182,1912,9667,True,False,False,False,False
103,06_01_2021_18_30_47,3,0,Small water bottle - RDM,78,283,164,372,38,-133,1622586807000,1622586815938,1622586819920,1622586823063,1,0,0,3982,12920,8938,16063,True,False,False,False,False
104,06_01_2021_18_30_47,3,1,clamps,145,290,207,356,42,-76,1622586846535,1622586849378,1622586852723,1622586856553,0,0,0,3345,6188,2843,10018,True,False,False,False,False
105,06_01_2021_18_30_47,3,2,Drill,79,249,160,294,29,-169,1622586860689,1622586862624,1622586867485,1622586874670,0,0,0,4861,6796,1935,13981,True,False,False,False,False
106,06_02_2021_15_32_42,3,0,Large water bottle - UR,13,297,156,374,392,-42,1622662580686,1622662583331,1622662588238,1622662593557,0,0,0,4907,7552,2645,12871,True,True,False,False,False
107,06_02_2021_15_32_42,3,1,screw driver,250,227,361,312,33,-164,1622662610867,1622662614380,1622662618528,1622662622850,0,0,0,4148,7661,3513,11983,True,False,False,False,False
108,06_02_2021_15_32_42,3,2,Shoes,56,196,168,300,13,-122,1622662632657,1622662634991,1622662639274,1622662648973,0,0,1,4283,6617,2334,16316,True,True,False,False,False
109,06_02_2021_15_59_32,3,0,airpods,87,176,124,221,52,-177,1622664142210,1622664145537,1622664149813,1622664154848,0,0,0,4276,7603,3327,12638,True,False,False,False,False
110,06_02_2021_15_59_32,3,1,pump,206,139,242,262,482,81,1622664176505,1622664179536,1622664184088,1622664187788,0,0,0,4552,7583,3031,11283,True,False,False,False,False
111,06_02_2021_15_59_32,3,2,Headphone,92,209,179,274,36,-98,1622664193638,1622664196020,1622664199062,1622664202367,0,0,0,3042,5424,2382,8729,True,False,False,False,False
112,06_02_2021_15_59_33,2,0,laddle,89,246,231,288,7,-43,1622665857311,1622665860597,1622665864594,1622665867400,0,0,0,3997,7283,3286,10089,True,False,False,False,False
113,06_02_2021_15_59_33,2,1,mango,83,171,167,226,10,-95,1622665872767,1622665875598,1622665877949,1622665880300,0,0,0,2351,5182,2831,7533,True,False,False,False,False
114,06_02_2021_15_59_33,5,0,airpods,189,267,237,313,23,-92,1622665914869,1622665918117,1622665922735,1622665925186,0,0,0,4618,7866,3248,10317,True,False,False,False,False
115,06_02_2021_15_59_33,5,1,white out,210,283,286,321,2,83,1622665930019,1622665933802,1622665936304,1622665938737,0,0,0,2502,6285,3783,8718,True,False,False,False,False
116,06_02_2021_15_59_33,5,2,Large water bottle - RDM,109,151,209,223,61,-119,1622665942889,1622665946101,1622665949341,1622665953148,0,0,0,3240,6452,3212,10259,True,False,False,False,False
117,06_02_2021_15_59_33,5,3,Hand Sanitizer - RDM,174,163,303,291,34,6,1622665958976,1622665963069,1622665965740,1622665969108,0,0,0,2671,6764,4093,10132,True,False,False,False,False
118,06_02_2021_15_59_33,5,4,Flash light,103,188,162,224,565,64,1622665974846,1622665977258,1622665981020,1622665984459,0,0,0,3762,6174,2412,9613,True,False,False,False,False
119,06_02_2021_15_59_33,6,0,Large water bottle - RDM,49,128,104,198,224,-12,1622666034233,1622666038747,1622666047868,1622666050397,0,0,0,9121,13635,4514,16164,True,True,False,False,False
120,06_02_2021_15_59_33,6,1,glass case,193,222,337,285,61,-1,1622666061373,1622666067947,1622666075588,1622666078015,0,0,0,7641,14215,6574,16642,False,False,True,False,False
121,06_02_2021_15_59_33,6,2,Glasses,193,190,313,296,190,76,1622666097173,1622666100830,1622666103046,1622666105234,0,0,0,2216,5873,3657,8061,True,False,False,False,False
122,06_02_2021_15_59_33,6,3,coffee pod,32,186,79,233,48,-46,1622666111366,1622666114358,1622666117333,1622666119468,0,0,0,2975,5967,2992,8102,True,False,False,False,False
123,06_02_2021_15_59_33,6,4,Travel mugs - RDM,68,264,229,377,54,-20,1622666124852,1622666126984,1622666131006,1622666134352,0,0,0,4022,6154,2132,9500,True,False,False,False,False
124,06_02_2021_15_59_33,6,5,tape,58,161,106,221,261,202,0,0,0,1622666162436,0,0,0,4022,6154,0,37584,False,False,False,False,False
125,06_02_2021_15_59_33,5,0,Dish Soap - RDM,45,320,85,371,-16,-97,1622666242439,1622666249181,1622666258420,1622666261966,0,0,0,9239,15981,6742,19527,True,False,False,True,False
126,06_02_2021_15_59_33,5,1,duster,197,258,244,302,19,54,1622666269723,1622666277925,1622666281684,1622666284491,0,0,0,3759,11961,8202,14768,True,False,False,False,False
127,06_02_2021_15_59_33,5,2,cigar,224,309,277,357,10,209,1622666290746,1622666293976,1622666297339,1622666299739,0,0,0,3363,6593,3230,8993,True,False,False,False,False
128,06_02_2021_15_59_33,5,3,Mouse,220,174,314,243,81,-89,1622666305740,1622666308701,1622666311595,1622666313815,0,0,0,2894,5855,2961,8075,True,False,False,False,False
129,06_02_2021_15_59_33,5,4,Large water bottle - UR,47,211,190,278,176,-45,1622666327651,1622666329941,1622666333974,1622666336856,0,0,0,4033,6323,2290,9205,True,False,False,False,False
130,06_02_2021_15_59_33,3,0,airpods,155,175,207,228,73,2,1622666374547,1622666379105,1622666382067,1622666385243,0,0,0,2962,7520,4558,10696,True,False,False,False,False
131,06_02_2021_15_59_33,3,1,tape,185,262,290,362,65,-118,1622666391729,1622666394512,1622666396991,1622666399982,0,0,0,2479,5262,2783,8253,True,False,False,False,False
132,06_02_2021_15_59_33,3,2,laddle,63,245,142,361,87,-24,1622666405823,1622666408351,1622666410896,1622666413976,0,0,0,2545,5073,2528,8153,True,False,False,False,False
133,06_02_2021_15_59_33,3,0,clamps,216,203,286,277,59,-72,1622666437350,1622666440610,1622666444442,1622666448028,0,0,0,3832,7092,3260,10678,True,False,False,False,False
134,06_02_2021_15_59_33,3,1,Glasses,186,293,244,384,106,-21,1622666454245,1622666458947,1622666461826,1622666464455,0,0,0,2879,7581,4702,10210,True,False,False,False,False
135,06_02_2021_15_59_33,3,2,Shoes,186,147,262,348,512,139,1622666469077,1622666471177,1622666474211,1622666478358,0,0,0,3034,5134,2100,9281,True,False,False,False,False
136,06_02_2021_15_59_33,4,0,Drill,102,252,214,381,412,-19,1622666510200,1622666515810,1622666518912,1622666536526,0,0,1,3102,8712,5610,26326,True,False,False,False,False
137,06_02_2021_15_59_33,4,1,laddle,65,236,158,293,36,-139,1622666555554,1622666560358,1622666563145,1622666566722,0,0,0,2787,7591,4804,11168,True,False,False,False,False
138,06_02_2021_15_59_33,4,2,Stapler,192,235,325,350,67,-126,1622666580596,1622666584300,1622666587237,1622666591646,0,0,0,2937,6641,3704,11050,True,False,False,False,False
139,06_02_2021_15_59_33,4,3,Hand Sanitizer - UR,18,202,150,266,84,-136,1622666605807,1622666608944,1622666614996,1622666617863,0,0,0,6052,9189,3137,12056,True,False,False,False,False
140,06_02_2021_15_59_33,5,0,medicine box - RDM,184,169,292,280,60,-117,1622666906521,1622666909803,1622666912375,1622666914696,0,0,0,2572,5854,3282,8175,True,False,False,False,False
141,06_02_2021_15_59_33,5,1,Jar - UR,28,43,143,133,67,-164,1622666926152,1622666929561,1622666932322,1622666936299,0,0,0,2761,6170,3409,10147,True,False,False,False,False
142,06_02_2021_15_59_33,5,2,duster,126,269,225,379,34,-55,1622666942546,1622666945661,1622666948345,1622666951062,0,0,0,2684,5799,3115,8516,True,False,False,False,False
143,06_02_2021_15_59_33,5,3,Drill,230,142,346,323,86,-121,1622666958275,1622666961586,1622666963848,1622666968180,0,0,0,2262,5573,3311,9905,True,False,False,False,False
144,06_02_2021_15_59_33,5,4,cigar,120,264,155,316,131,-77,1622666973971,1622666976146,1622666978164,1622666980465,0,0,0,2018,4193,2175,6494,True,False,False,False,False
145,06_02_2021_15_59_33,2,0,white out,87,266,147,354,37,-6,1622667009186,1622667024069,1622667028824,1622667031413,1,0,0,4755,19638,14883,22227,True,False,True,False,False
146,06_02_2021_15_59_33,2,1,Lotion Bottles - UR,30,235,213,337,352,315,1622667036908,1622667039781,1622667043569,1622667054281,0,0,0,3788,6661,2873,17373,False,True,False,False,False
147,06_01_2021_16_43_45,3,0,Jar - UR,32,134,140,208,-31,-147,1622580604277,1622580607900,1622580612760,1622580631766,0,0,1,4860,8483,3623,27489,True,True,False,False,False
148,06_01_2021_16_43_45,3,1,laddle,211,46,267,250,28,-161,1622580645058,1622580648219,1622580652150,1622580658300,0,0,0,3931,7092,3161,13242,True,False,False,False,False
149,06_01_2021_16_43_45,3,2,Travel mugs - RDM,72,183,240,335,15,-205,1622580665084,1622580667151,1622580672197,1622580676983,0,0,0,5046,7113,2067,11899,True,False,False,False,False
150,06_01_2021_18_30_47,3,0,Drill,62,219,164,371,78,-221,1622586897624,1622586900953,1622586905354,1622586911353,0,0,0,4401,7730,3329,13729,True,False,False,False,False
